ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim4,programacion_trim4,programacion_acumulada_trim4,ejecutado_vigente_trim4,ejecutado_acumulado_trim4,porc_desvio_acum_trim4,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,45000000,45000000,45000000,13000000,45000000,14799115,57155925,"27,01",La Mejora es Temporal,La Mejora es Temporal,Debido a la continuacion de  trabajos realizados por Convenio con Instituto Nacional de Estadistica y Censos de la Republica Argentina,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,180,180,180,45,180,45,180,"0,00",-,-,-,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,200000,200000,200000,50000,200000,62402,240887,"20,44",Otras Causas,Otras Causas,Demoras en el otorgamiento de pensiones no contributiva.,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1268,Actuaciones de Oficio,30,Caso,Suma: el total es la suma de las cantidades,187,187,187,50,187,38,154,"-17,65",Otras Causas,Otras Causas,Se continua trabajando en las causas ya iniciadas.,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,10000,10000,10000,2500,10000,2499,11223,"12,23",Otras Causas,Otras Causas,Demoras en el otorgamiento de pensiones no contributiva.,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3169,Difusión Radiofónica,1539,Programa Emitido,Suma: el total es la suma de las cantidades,54,54,54,13,54,13,54,"0,00",-,-,-,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Indicador,70,Asistencia a Actividades de Promoción del Derecho a la Comunicación y a la Información,1436,Asistente por Actividad,Suma: el total es la suma de las cantidades,58,35,35,,,,,"0,00",-,-,-,Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2852,Recepción de Presentaciones Promovidas por los Ciudadanos,607,Presentación,Suma: el total es la suma de las cantidades,2475,2120,2120,500,2120,509,2021,"-4,67",Otras causas,Otras causas,"Las presentaciones temáticas consignadas en la presente corresponden a las manifestaciones que recibió este organismo en relación con los siguientes universos a) 'Representaciones mediáticas consideradas inconvenientes' b)'Acceso y cumplimiento de las pautas fijadas por la normativa vigente en relación con canales, señales y frecuencias de radio' y c) 'Pedidos de capacitación y solicitudes de representación de las audiencias ante la autoridad d aplicación de la Ley.  La variación de la ejecución respecto de lo programado se fundamenta en que las presentaciones temáticas no dependen de una variable definida, sino que son producto de la coyuntura y de los hechos comunicacionales que ocurren en el país.",Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,1200,1200,1200,300,1200,0,750,"-37,50",Otras causas,Otras causas,"La diferencia entre las metas físicas propuestas y las efectivamente cumplidas se debe a la designación de nuevas autoridades superiores en el Organismo que han dispuesto un análisis y evaluación de las tareas llevadas a cabo hasta entonces. El resultado del mismo, arrojó posibilidades de mejoras y optimización de los recursos y actividades, para lo cual se hizo imperioso reprogramar las tareas.",Última actualización del ejercicio 2018: 24 Junio 2019.
2018,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2855,Otorgamiento de Becas de Investigación y Capacitación,243,Becario,Suma: el total es la suma de las cantidades,150,150,150,20,150,0,0,"-100,00",Otras causas,Otras causas,"La diferencia entre las metas físicas propuestas y las efectivamente cumplidas se debe a la designación de nuevas autoridades superiores en el Organismo que han dispuesto un análisis y evaluación de las tareas llevadas a cabo hasta entonces. El resultado del mismo, arrojó posibilidades de mejoras y optimización de los recursos y actividades, para lo cual se hizo imperioso reprogramar las tareas.",Última actualización del ejercicio 2018: 24 Junio 2019.
