ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim4,programacion_trim4,programacion_acumulada_trim4,ejecutado_vigente_trim4,ejecutado_acumulado_trim4,porc_desvio_acum_trim4,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,45000000,45000000,45000000,7000000,45000000,29690073,104121076,"131,38",La Mejora es Temporal,La Mejora es Temporal,El desvio de las metas proyectadas para el ultimo trimestre del ejercicio 2017 obedece a la realizacion de trabajos para el Instituto Nacional de Estadisticas y Censos de la Republica Argentina en virtud de un convenio interadministrativo para la relizacion de trabajos graficos de gran tirada. La mejora prevista es temporal en relación a los plazos del citado convenio.,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,150,150,150,40,150,40,150,"0,00",-,-,-,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,160000,160000,160000,40000,160000,42087,177383,"10,86",Otras Causas,Otras Causas,Por reclamos ante  inconvenientes en la facturación del servicio eléctrico e infracciones de tránsito.,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1268,Actuaciones de Oficio,30,Caso,Suma: el total es la suma de las cantidades,150,150,150,40,150,31,156,"4,00",Otras Causas,Otras Causas,Incremento por el resultado de las investigaciones realizadas.,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,8000,8000,8000,2000,8000,2366,10776,"34,70",Otras Causas,Otras Causas,Por reclamos ante  inconvenientes en la facturación del servicio eléctrico e infracciones de tránsito.,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3169,Difusión Radiofónica,1539,Programa Emitido,Suma: el total es la suma de las cantidades,54,54,54,15,54,15,54,"0,00",-,-,-,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Indicador,70,Asistencia a Actividades de Promoción del Derecho a la Comunicación y a la Información,1436,Asistente por Actividad (Promedio),Suma: el total es la suma de las cantidades,"52,11","34,28","34,28",,,,,"0,00",-,-,-,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2852,Recepción de Presentaciones Promovidas por los Ciudadanos,607,Presentación,Suma: el total es la suma de las cantidades,2723,2475,2475,545,2475,485,2096,"-15,31",Otras causas,Otras causas,Es una meta variable que depende de la coyuntura y de los hechos comunicacionales que ocurren en el pais,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2853,Capacitación en la Temática de Derecho Humano a la Comunicación y el Acceso a la Información,1307,Persona Capacitada,Suma: el total es la suma de las cantidades,34375,24000,24000,8000,24000,7763,28562,"19,01",Otras causas,Otras causas,Aumento en las solicitudes de capacitación e implementaciòn de nuevas actividades de capacitaciòn en la Defensorìa Movil como nuevo dispositivo.,Última actualización del ejercicio 2017: 09 Julio 2018.
2017,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,2105,1200,1200,250,1200,0,130,"-89,17",Otras causas,Otras causas,Limitación en las acciones que realiza el organismo por la situación de acefalía en la que se encuentra desde noviembre de 2017,Última actualización del ejercicio 2017: 09 Julio 2018.
