Provincia,Año,Poblacion,TCAM
La Pampa,2022,361859,8.2
La Rioja,2022,383865,9.2
Mendoza,2022,2043540,11.5
Misiones,2022,1278873,11.3
Neuquén,2022,710814,18.0
Río Negro,2022,750768,12.0
Salta,2022,1441351,12.4
San Juan,2022,822853,13.8
San Luis,2022,542069,16.5
Santa Cruz,2022,337226,16.7
Santa Fe,2022,3544908,6.8
Santiago del Estero,2022,1060906,15.3
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",2022,185732,28.8
Tucumán,2022,1731820,12.4
