Año,Mes,Distrito,Dependencia,Tipo,Cantidad
2024,Septiembre,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Septiembre,Cafayate,Judiciales,Violencia no penal,0
2024,Septiembre,Cafayate,Judiciales,Penal,9
2024,Septiembre,Cafayate,Policiales,Penal por violencia de género,38
2024,Septiembre,Cafayate,Policiales,Penal por violencia familiar,4
2024,Septiembre,Cafayate,Policiales,Violencia no penal,8
2024,Septiembre,Cafayate,Policiales,Penal,127
2024,Septiembre,Orán,Judiciales,Penal por violencia de género,25
2024,Septiembre,Orán,Judiciales,Penal por violencia familiar,1
2024,Septiembre,Orán,Judiciales,Violencia no penal,4
2024,Septiembre,Orán,Judiciales,Penal,17
2024,Septiembre,Orán,Policiales,Penal por violencia de género,198
2024,Septiembre,Orán,Policiales,Penal por violencia familiar,25
2024,Septiembre,Orán,Policiales,Violencia no penal,103
2024,Septiembre,Orán,Policiales,Penal,827
2024,Septiembre,Metán,Judiciales,Penal por violencia de género,16
2024,Septiembre,Metán,Judiciales,Penal por violencia familiar,0
2024,Septiembre,Metán,Judiciales,Violencia no penal,4
2024,Septiembre,Metán,Judiciales,Penal,19
2024,Septiembre,Metán,Policiales,Penal por violencia de género,154
2024,Septiembre,Metán,Policiales,Penal por violencia familiar,4
2024,Septiembre,Metán,Policiales,Violencia no penal,50
2024,Septiembre,Metán,Policiales,Penal,645
2024,Septiembre,Anta,Judiciales,Penal por violencia de género,2
2024,Septiembre,Anta,Judiciales,Penal por violencia familiar,0
2024,Septiembre,Anta,Judiciales,Violencia no penal,5
2024,Septiembre,Anta,Judiciales,Penal,8
2024,Septiembre,Anta,Policiales,Penal por violencia de género,28
2024,Septiembre,Anta,Policiales,Penal por violencia familiar,0
2024,Septiembre,Anta,Policiales,Violencia no penal,17
2024,Septiembre,Anta,Policiales,Penal,86
2024,Septiembre,Tartagal,Judiciales,Penal por violencia de género,15
2024,Septiembre,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Septiembre,Tartagal,Judiciales,Violencia no penal,16
2024,Septiembre,Tartagal,Judiciales,Penal,11
2024,Septiembre,Tartagal,Policiales,Penal por violencia de género,269
2024,Septiembre,Tartagal,Policiales,Penal por violencia familiar,10
2024,Septiembre,Tartagal,Policiales,Violencia no penal,177
2024,Septiembre,Tartagal,Policiales,Penal,1025
