Año,Distrito,Género,Rango_etario,Frecuencia,Ord_rango_etario
2021,Centro,Mujeres,Sin especificar,3961,9
2021,Sur-Metán,Mujeres,Sin especificar,218,9
2021,Norte-Orán,Mujeres,Sin especificar,511,9
2021,Norte-Tartagal,Mujeres,Sin especificar,865,9
2021,Sur-Anta,Varones,0-17 años,1,1
2021,Centro,Varones,0-17 años,157,1
2021,Sur-Metán,Varones,0-17 años,24,1
2021,Norte-Orán,Varones,0-17 años,26,1
2021,Norte-Tartagal,Varones,0-17 años,48,1
2021,Sur-Anta,Varones,18-21 años,13,2
2021,Centro,Varones,18-21 años,991,2
2021,Sur-Metán,Varones,18-21 años,107,2
2021,Norte-Orán,Varones,18-21 años,117,2
2021,Norte-Tartagal,Varones,18-21 años,189,2
2021,Sur-Anta,Varones,22-29 años,35,3
2021,Centro,Varones,22-29 años,3285,3
2021,Sur-Metán,Varones,22-29 años,276,3
2021,Norte-Orán,Varones,22-29 años,459,3
2021,Norte-Tartagal,Varones,22-29 años,510,3
2021,Sur-Anta,Varones,30-39 años,38,4
2021,Centro,Varones,30-39 años,3845,4
2021,Sur-Metán,Varones,30-39 años,367,4
2021,Norte-Orán,Varones,30-39 años,480,4
2021,Norte-Tartagal,Varones,30-39 años,522,4
2021,Sur-Anta,Varones,40-49 años,31,5
2021,Centro,Varones,40-49 años,2236,5
2021,Sur-Metán,Varones,40-49 años,211,5
2021,Norte-Orán,Varones,40-49 años,292,5
2021,Norte-Tartagal,Varones,40-49 años,346,5
2021,Sur-Anta,Varones,50-59 años,15,6
2021,Centro,Varones,50-59 años,972,6
2021,Sur-Metán,Varones,50-59 años,88,6
2021,Norte-Orán,Varones,50-59 años,111,6
2021,Norte-Tartagal,Varones,50-59 años,147,6
2021,Sur-Anta,Varones,60-74 años,13,7
2021,Centro,Varones,60-74 años,512,7
2021,Sur-Metán,Varones,60-74 años,70,7
2021,Norte-Orán,Varones,60-74 años,47,7
2021,Norte-Tartagal,Varones,60-74 años,61,7
2021,Sur-Anta,Varones,Más de 74 años,1,8
