Año,Distrito,Género,Rango_etario,Ord_rango_etario,Frecuencia
2020,Norte-Orán,Varones,50-59 años,9,55
2020,Norte-Tartagal,Varones,50-59 años,9,46
2020,Centro,Varones,6-10 años,2,102
2020,Sur-Metán,Varones,6-10 años,2,27
2020,Norte-Orán,Varones,6-10 años,2,36
2020,Norte-Tartagal,Varones,6-10 años,2,70
2020,Centro,Varones,60-74 años,10,407
2020,Sur-Metán,Varones,60-74 años,10,15
2020,Norte-Orán,Varones,60-74 años,10,31
2020,Norte-Tartagal,Varones,60-74 años,10,37
2020,Centro,Varones,Más de 74 años,11,152
2020,Sur-Metán,Varones,Más de 74 años,11,8
2020,Norte-Orán,Varones,Más de 74 años,11,6
2020,Norte-Tartagal,Varones,Más de 74 años,11,3
2020,Centro,Varones,Sin especificar,12,132
2020,Sur-Metán,Varones,Sin especificar,12,32
2020,Norte-Orán,Varones,Sin especificar,12,25
2020,Norte-Tartagal,Varones,Sin especificar,12,84
2021,Sur-Anta,Mujeres,0-5 años,1,7
2021,Centro,Mujeres,0-5 años,1,513
2021,Sur-Metán,Mujeres,0-5 años,1,41
2021,Norte-Orán,Mujeres,0-5 años,1,51
2021,Norte-Tartagal,Mujeres,0-5 años,1,99
2021,Sur-Anta,Mujeres,11-14 años,3,5
2021,Centro,Mujeres,11-14 años,3,539
2021,Sur-Metán,Mujeres,11-14 años,3,54
2021,Norte-Orán,Mujeres,11-14 años,3,66
2021,Norte-Tartagal,Mujeres,11-14 años,3,112
2021,Sur-Anta,Mujeres,15-17 años,4,12
2021,Centro,Mujeres,15-17 años,4,581
2021,Sur-Metán,Mujeres,15-17 años,4,57
2021,Norte-Orán,Mujeres,15-17 años,4,105
2021,Norte-Tartagal,Mujeres,15-17 años,4,132
2021,Sur-Anta,Mujeres,18-21 años,5,23
2021,Centro,Mujeres,18-21 años,5,1566
2021,Sur-Metán,Mujeres,18-21 años,5,150
2021,Norte-Orán,Mujeres,18-21 años,5,220
2021,Norte-Tartagal,Mujeres,18-21 años,5,313
2021,Sur-Anta,Mujeres,22-29 años,6,33
2021,Centro,Mujeres,22-29 años,6,4320
2021,Sur-Metán,Mujeres,22-29 años,6,381
2021,Norte-Orán,Mujeres,22-29 años,6,625
2021,Norte-Tartagal,Mujeres,22-29 años,6,750
2021,Sur-Anta,Mujeres,30-39 años,7,40
2021,Centro,Mujeres,30-39 años,7,4402
2021,Sur-Metán,Mujeres,30-39 años,7,326
2021,Norte-Orán,Mujeres,30-39 años,7,568
2021,Norte-Tartagal,Mujeres,30-39 años,7,687
2021,Sur-Anta,Mujeres,40-49 años,8,29
2021,Centro,Mujeres,40-49 años,8,2934
2021,Sur-Metán,Mujeres,40-49 años,8,221
2021,Norte-Orán,Mujeres,40-49 años,8,268
2021,Norte-Tartagal,Mujeres,40-49 años,8,453
2021,Sur-Anta,Mujeres,50-59 años,9,18
2021,Centro,Mujeres,50-59 años,9,1314
2021,Sur-Metán,Mujeres,50-59 años,9,104
2021,Norte-Orán,Mujeres,50-59 años,9,130
2021,Norte-Tartagal,Mujeres,50-59 años,9,173
2021,Sur-Anta,Mujeres,6-10 años,2,5
2021,Centro,Mujeres,6-10 años,2,637
2021,Sur-Metán,Mujeres,6-10 años,2,70
2021,Norte-Orán,Mujeres,6-10 años,2,79
2021,Norte-Tartagal,Mujeres,6-10 años,2,88
2021,Sur-Anta,Mujeres,60-74 años,10,8
2021,Centro,Mujeres,60-74 años,10,1033
2021,Sur-Metán,Mujeres,60-74 años,10,74
2021,Norte-Orán,Mujeres,60-74 años,10,86
2021,Norte-Tartagal,Mujeres,60-74 años,10,118
2021,Sur-Anta,Mujeres,Más de 74 años,11,4
2021,Centro,Mujeres,Más de 74 años,11,370
2021,Sur-Metán,Mujeres,Más de 74 años,11,26
2021,Norte-Orán,Mujeres,Más de 74 años,11,22
2021,Norte-Tartagal,Mujeres,Más de 74 años,11,32
2021,Sur-Anta,Mujeres,Sin especificar,12,10
2021,Centro,Mujeres,Sin especificar,12,569
2021,Sur-Metán,Mujeres,Sin especificar,12,71
2021,Norte-Orán,Mujeres,Sin especificar,12,87
2021,Norte-Tartagal,Mujeres,Sin especificar,12,158
2021,Sur-Anta,Varones,0-5 años,1,7
2021,Centro,Varones,0-5 años,1,516
2021,Sur-Metán,Varones,0-5 años,1,47
