Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
No,7/25/2024 14:21:32,7/1/2024,16,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Chicoana,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,,No,,No,No,,,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 15:48:28,7/25/2024,16,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,Estudiantes,No,Sí,"Apodos, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,Avisar De Estas Situaciones En La Casa,No,No,Sí,No,,En El Aula,Sí,"Identidad De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",Sí,"Talleres, Capacitaciones, Charlas Informativas, Actividades Culturales"
No,7/25/2024 18:28:18,9/7/2024,16,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Cachi,A veces,Administrativos/Preceptores,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,No,,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género","Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
Sí,3/8/2024 22:45:18,5/19/2011,13,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,Sí,Burlas/Chistes,No,"Avisar De Estas Situaciones En La Casa, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,No,No,No,,No Atravesé Situaciones De Violencia,Sí,"Orientación Sexual, Expresión De Género",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
Sí,5/27/2024 16:14:48,11/20/2009,14,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,"Directivos, Coordinadores, Docentes, Administrativos/Preceptores, Personal de maestranza, Estudiantes",No,Sí,"Insultos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños, Paredes, Mesas, Sillas, Pizarra, Etc., Empujones, Golpes, Ciberbullying (Reenvío De Fotos, Memes, Stickers En Whatsapp, Etc.)",Sí,Nada,No,No,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Dirección, Preceptoria, Pasillos, Patio, Baños O Vestuarios, Comedor, Campo Deportivo/Gimnasio, Escaleras, Otros Lugares De La Institución Educativa",Sí,Identidad De Género,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/15/2023 23:29:28,7/22/2009,15,Varón trans,No,No,Pansexual,Secundaria,Secundario privado,Salta,Constantementes,Estudiantes,Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Empujones, Amenazas",Sí,"Avisar De Estas Situaciones En La Casa, No Reaccionaste Ante Estas Situaciones",No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer, No Permiten Que Una Persona Trans Sea Llamada Por Su Nombre Y Utilice El Uniforme Con El Que Se Siente Mejor (Están Separados Por Varón Y Mujer) A Menos Que Ya Haya Realizado El Cambio Registral Del Dni.","En El Aula, Pasillos, Patio, Baños O Vestuarios",Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/24/2024 18:37:23,9/1/2009,15,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario privado,Salta,Constantementes,"Docentes, Estudiantes",Sí,,"Apodos, Burlas/Chistes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",Sí,No,No,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Dirección, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio",Sí,"Ninguno De Los Temas Anteriores, Vimos Q Hay Plantas Hembras Y Macho, Como La Palta Y El Palto 💀","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,4/8/2024 12:46:18,7/28/2009,15,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Estudiantes",Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Amenazas, Golpes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.), Otras Situaciones De Violencia Y Discriminación",Sí,Pedir Un Consejo/Ayuda A Algún Compañero/A,No,Sí,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Pasillos, Patio, Baños O Vestuarios, Escaleras",Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,10/3/2023 15:05:42,9/16/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,GENERAL GUEMES,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, INTERSEXUALIDAD, INTERSECCIONALIDAD, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL, NUEVAS MASCULINIDADES, NINGUNO DE LOS TEMAS ANTERIORES",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,"TALLERES, CHARLAS INFORMATIVAS"
No,7/25/2024 15:55:58,3/5/2009,15,Varón trans,No,No,Heterosexual,Secundaria,Secundario estatal,La Poma,A veces,Estudiantes,No,,Insultos,Sí,,No,,,No,,,Sí,"Identidad De Género, Identidad No Binarie, Orientación Sexual, Expresión De Género, Intersexualidad, Interseccionalidad, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual, Nuevas Masculinidades, Ninguno De Los Temas Anteriores",Lenguaje Inclusivo,No,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
No,7/25/2024 16:46:21,11/20/2008,15,Mujer cis,Sí,No,Bisexual,Primaria,Secundario estatal,Salta,Constantementes,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,,Sí,No,,No Atravesé Situaciones De Violencia,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,Sí,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
No,7/25/2024 20:59:09,4/3/2009,15,Otro,No,No,Bisexual,Primaria,Secundario estatal,Salta,Nunca,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,Sí,Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer,No Atravesé Situaciones De Violencia,No,Ninguno De Los Temas Anteriores,Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,No,Organizar Campañas De Sensibilización E Información,No,
No,7/26/2024 15:46:11,3/6/2009,15,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,"Docentes, Personal de maestranza, Estudiantes",Sí,No,"Insultos, Apodos, Empujones, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,Ninguna,No,No,No,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Pasillos",No,,Prácticas Deportivas Inclusivas,Sí,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,8/27/2024 13:06:15,1/22/2009,15,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,Nunca,Directivos,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,No,No,Uniforme/Vestimenta,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual",Trabajo Y Educación Para Las Personas Trans/No Binares,No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
No,10/4/2023 8:57:07,1/31/2008,16,Género fluido,No,No,Bisexual,Secundaria,Secundario estatal,Isla de Cañas,A veces,Estudiantes,Sí,,Burlas/Chistes,Sí,No Reaccionaste Ante Estas Situaciones,No,No,Sí,Sí,Planillas De Asistencia Discriminada Por Varón/Mujer,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Organizar Campañas De Sensibilización E Información,No,
No,3/10/2024 17:52:03,10/19/2007,17,Varón trans,No,Sí,Gay,Secundaria,Secundario privado,General Güemes,A veces,"Docentes, Estudiantes",Sí,,"Apodos, Burlas/Chistes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,"Avisar De Estas Situaciones En La Casa, Pedir Un Consejo/Ayuda A Algún Compañero/A",Sí,No,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Organización En La Formación/Filas, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Campo Deportivo/Gimnasio",Sí,Intersexualidad,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Orientación Vocacional Para Personas Trans/No Binaries",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 14:21:00,1/17/2008,16,Otro,No,No,Bisexual,Secundaria,Secundario estatal,San Antonio de los Cobres,A veces,"Directivos, Docentes, Estudiantes",Sí,No,"Insultos, Apodos, Burlas/Chistes, Amenazas, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",Sí,No Reaccionaste Ante Estas Situaciones,No,No,No,No,Organización En La Formación/Filas,"En El Aula, Pasillos, Patio, Baños O Vestuarios, Escaleras",Sí,Orientación Sexual,"Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,Otras
No,7/25/2024 15:22:25,6/27/2008,16,Varón trans,No,No,Pansexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,No Reaccionaste Ante Estas Situaciones,Sí,Sí,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Prácticas Deportivas Separadas Por Varón/Mujer","Baños O Vestuarios, Otros Lugares De La Institución Educativa",No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/25/2024 16:14:50,1/14/2008,16,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,Sí,,"Insultos, Burlas/Chistes, Gestos Intimidantes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,No Reaccionaste Ante Estas Situaciones,Sí,No,No,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Organización En La Formación/Filas, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",Otros Lugares De La Institución Educativa,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,7/25/2024 21:34:53,10/27/2007,16,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Chicoana,A veces,Estudiantes,Sí,,Burlas/Chistes,Sí,No Reaccionaste Ante Estas Situaciones,No,No,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",En El Aula,Sí,"Identidad De Género, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Prácticas Deportivas Inclusivas",No,No,Denunciar Ante La Justicia Y/U Organismos Pertinentes,No,
No,7/25/2024 21:41:56,10/25/2007,16,Otro,No,No,Bisexual,Secundaria,Secundario estatal,Rosario de Lerma,A veces,"Docentes, Estudiantes",No,No,No Experimenté Violencia/Agresiones,No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,Sí,No,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,No,Ninguno De Los Temas Anteriores,Salud Integral De La Diversidad Sexual/Afectiva,No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,Otras
Sí,10/3/2023 22:26:01,9/25/2005,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,NO,GESTOS INTIMIDANTES,NO,"AVISAR DE ESTAS SITUACIONES EN LA CASA, AVISAR DE ESTAS SITUACIONES EN EL ESTABLECIMIENTO EDUCATIVO",NO,NO,NO,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,ORIENTACIÓN SEXUAL,,NO,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,NO,
Sí,10/4/2023 8:33:48,2/13/2023,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,ISLA DE CAÑAS,A VECES,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,NO,NINGUNO DE LOS TEMAS ANTERIORES,,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,OTRAS
No,7/26/2024 15:46:03,9/17/2008,16,Varón cis,Sí,No,Gay,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Personal de maestranza, Estudiantes",Sí,No,"Insultos, Burlas/Chistes, Exclusión De Grupos Y Actividades Escolares, Empujones",No,Ninguna,No,No,No,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello",No Atravesé Situaciones De Violencia,No,,Prácticas Deportivas Inclusivas,Sí,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
Sí,10/4/2023 9:54:46,9/24/2005,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,ISLA DE CAÑAS,A VECES,ESTUDIANTES,NO,SI,"INSULTOS, APODOS, DIBUJOS/PALABRAS DISCRIMINATORIAS ESCRITAS EN LOS BAÑOS, PAREDES, MESAS, SILLAS, PIZARRA, ETC., AMENAZAS, CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.), OTRAS SITUACIONES DE VIOLENCIA Y DISCRIMINACIÓN",SI,AVISAR DE ESTAS SITUACIONES EN LA CASA,NO,NO,NO,SI,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA, ORGANIZACIÓN EN LA FORMACIÓN/FILAS",EN EL AULA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL",,NO,SI,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,SI,"TALLERES, CHARLAS INFORMATIVAS"
No,7/26/2024 17:54:33,4/10/2008,16,Mujer cis,Sí,No,Asexual,Secundaria,Secundario estatal,Cachi,A veces,Estudiantes,Sí,,"Apodos, Burlas/Chistes, Exclusión De Grupos Y Actividades Escolares, Otras Situaciones De Violencia Y Discriminación",No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia, No Reaccionaste Ante Estas Situaciones",No,No,Sí,No,,En El Aula,Sí,Estereotipos De Genero ,Salud Integral De La Diversidad Sexual/Afectiva,No,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
Sí,10/4/2023 15:45:55,7/26/2008,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,ISLA DE CAÑAS,A VECES,ESTUDIANTES,SI,SI,APODOS,NO,"AVISAR DE ESTAS SITUACIONES EN LA CASA, FALTAR A CLASES POR MIEDO",SI,SI,SI,SI,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA","EN EL AULA, PASILLOS",SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,SI,SI,"REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN",NO,
No,7/26/2024 18:01:29,6/28/2008,16,Mujer cis,Sí,No,Pansexual,Secundaria,Secundario estatal,Cachi,A veces,"Directivos, Docentes, Estudiantes",No,Sí,"Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Avisar De Estas Situaciones En La Casa, Pedir Un Consejo/Ayuda A Algún Compañero/A, Defenderte Violentamente (Con Insultos; Golpes; Etc.)",No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), No Me Siento Segura Por Que Los Baños No Cierran Xd ","Baños O Vestuarios, Otros Lugares De La Institución Educativa",Sí,"Identidad De Género, Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",Sí,"Talleres, Capacitaciones, Encuentros, Charlas Informativas, Charlas Preventivas, Conmemoraciones, Actividades Culturales, Actividades Artisticas"
Sí,10/4/2023 17:11:15,8/24/1996,,-,,NO,HETEROSEXUAL,SUPERIOR (UNVERSITARIO/TERCIARIO),UNIVERSIDAD ESTATAL,SALTA,NUNCA,DOCENTES,NO,,La violencia no tiene genero.,NO,"Ninguna, porque los mismos docentes universitario discriminan aquel que no piensa igual, no por genero.",NO,NO,,SI,,,SI,Pseudociencia,,NO,NO,No a la policia del pensamiento.,SI,"TALLERES, CAPACITACIONES, CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS, CONMEMORACIONES, ACTIVIDADES CULTURALES, ACTIVIDADES ARTISTICAS, OTRAS"
Sí,10/6/2023 19:39:01,5/21/2009,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,GENERAL GUEMES,CONSTANTEMENTE,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA",,NO,NO,REALIZAR MEDIACIONES ENTRE LAS PARTES INVOLUCRADAS,NO,
No,8/15/2024 19:49:20,12/26/2007,16,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,Sí,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información",No,
No,8/17/2024 17:51:49,5/1/2008,16,Varón trans,No,No,Bisexual,Secundaria,Secundario estatal,San José de Metán,Constantementes,"Docentes, Estudiantes",Sí,No,"Insultos, Apodos, Burlas/Chistes, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.)",No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,Sí,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer","En El Aula, Campo Deportivo/Gimnasio",No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,8/22/2024 12:41:07,4/29/2008,16,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,El Quebrachal,A veces,Estudiantes,Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Ciberbullying (Reenvío De Fotos; Memes; Stickers En Whatsapp; Etc.), No Experimenté Violencia/Agresiones",Sí,"Pedir Un Consejo/Ayuda A Algún Compañero/A, No Reaccionaste Ante Estas Situaciones",No,Sí,Sí,No,,"En El Aula, Pasillos, Patio, Campo Deportivo/Gimnasio",Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",No,
