Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
Sí,7/25/2024 19:34:13,7/25/2024,,Mujer cis,TRUE,No,Heterosexual,PRIMARIA,SECUNDARIO ESTATAL,SALTA,CONSTANTEMENTE,ESTUDIANTES,NO,NO,"CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.)",NO,DENUNCIAR ESTAS SITUACIONES ANTE LAS AUTORIDADES DEL ESTABLECIMIENTO,NO,NO,SI,NO,"LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN), UNIFORME/VESTIMENTA, PRÁCTICAS DEPORTIVAS SEPARADAS POR VARÓN/MUJER, PLANILLAS DE ASISTENCIA DISCRIMINADA POR VARÓN/MUJER, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL",,NO,NO,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,CHARLAS INFORMATIVAS
Sí,7/25/2024 19:53:11,10/12/2008,,Mujer cis,TRUE,Sí,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,CONSTANTEMENTE,DOCENTES,SI,NO,INSULTOS,NO,AVISAR DE ESTAS SITUACIONES EN LA CASA,SI,SI,NO,NO,LAS INDICACIONES PARA EL USO DE BAÑOS (MUJER/VARÓN),EN EL AULA,NO,IDENTIDAD DE GÉNERO,,NO,NO,ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN,SI,ENCUENTROS
Sí,7/25/2024 19:58:43,3/13/2009,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,CONSTANTEMENTE,ESTUDIANTES,NO,,"INSULTOS, APODOS, BURLAS/CHISTES, GESTOS INTIMIDANTES, EXCLUSIÓN DE GRUPOS Y ACTIVIDADES ESCOLARES, DIBUJOS/PALABRAS DISCRIMINATORIAS ESCRITAS EN LOS BAÑOS, PAREDES, MESAS, SILLAS, PIZARRA, ETC., CIBERBULLYING (REENVÍO DE FOTOS, MEMES, STICKERS EN WHATSAPP, ETC.)",NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,SI,"UNIFORME/VESTIMENTA, INDICAR EL LARGO Y LA FORMA DE PEINAR EL CABELLO, ORGANIZACIÓN EN LA FORMACIÓN/FILAS, LAS NORMAS RESPECTO AL USO DE MAQUILLAJE Y/O ACCESORIOS “NO CORRESPONDIENTES” AL BINOMIO VARÓN/MUJER",NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL,,NO,NO,"DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES, ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",NO,
Sí,7/25/2024 20:33:31,8/17/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,CACHI,NUNCA,ESTUDIANTES,NO,NO,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,"IDENTIDAD DE GÉNERO, ORIENTACIÓN SEXUAL, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA",,SI,SI,"ORGANIZAR CAMPAÑAS DE SENSIBILIZACIÓN E INFORMACIÓN, GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO",SI,"CHARLAS INFORMATIVAS, CHARLAS PREVENTIVAS"
No,7/25/2024 15:02:15,12/29/2002,21,Género fluido,No,No,Asexual,Secundaria,Universidad estatal,Salta,Constantementes,"Docentes, Estudiantes",No,,No Experimenté Violencia/Agresiones,Sí,No Reaccionaste Ante Estas Situaciones,No,Sí,No,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer",En El Aula,No,,"Salud Integral De La Diversidad Sexual/Afectiva, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Encuentros, Actividades Culturales, Actividades Artisticas, Otras"
No,10/3/2023 14:07:03,7/4/2002,22,Varón cis,Sí,No,Bisexual,Secundaria,Terciario privado,San José de Metán,Nunca,Estudiantes,Sí,,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,Sí,No,Sí,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Dirección, Pasillos, Baños O Vestuarios, Cocina, Campo Deportivo/Gimnasio, Otros Lugares De La Institución Educativa",Sí,"Identidad De Género, Identidad No Binarie, Orientación Sexual, Expresión De Género, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Trabajo Y Educación Para Las Personas Trans/No Binares, Orientación Vocacional Para Personas Trans/No Binaries",No,Sí,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Generar Redes De Acompañamiento Y Asesoramiento",Sí,"Talleres, Capacitaciones, Encuentros, Charlas Preventivas"
No,3/5/2024 23:25:49,11/5/2001,22,Varón cis,Sí,No,Bisexual,Secundaria,Universidad estatal,Salta,A veces,"Docentes, Estudiantes",No,,"Si Se Refiere A La Universidad, Ninguno",No,,No,,,Sí,"Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello",,No,,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Uso De Sanitarios",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Organizar Campañas De Sensibilización E Información",No,
Sí,7/25/2024 21:39:03,3/22/2004,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,SALTA,A VECES,ESTUDIANTES,NO,SI,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL,,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,"CAPACITACIONES, CHARLAS INFORMATIVAS"
Sí,7/25/2024 21:39:29,10/27/2007,,Mujer cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,TARTAGAL,CONSTANTEMENTE,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,,,NO,,NO ATRAVESÉ SITUACIONES DE VIOLENCIA,SI,NINGUNO DE LOS TEMAS ANTERIORES,,NO,SI,GENERAR REDES DE ACOMPAÑAMIENTO Y ASESORAMIENTO,NO,
No,3/7/2024 17:19:41,3/13/2002,22,Género fluido,No,No,Bisexual,Secundaria,Secundario privado,Tartagal,A veces,"Docentes, Estudiantes",No,Sí,Burlas/Chistes,No,"Avisar De Estas Situaciones En El Establecimiento Educativo, Pedir Un Consejo/Ayuda A Algún Compañero/A, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,,,No,,,No,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries, Historia Queer",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
