ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim4,programacion_trim4,programacion_acumulada_trim4,ejecutado_vigente_trim4,ejecutado_acumulado_trim4,porc_desvio_acum_trim4,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,312,Honorable Senado de la Nación Argentina,16,Formacion y Sancion de Leyes Nacionales,0,Formacion y Sancion de Leyes Nacionales,Indicador,359,Porcentaje de bancas ocupadas por mujeres en la Cámara de Senadores del Congreso Nacional (ODS 5.5.2 - PPG),1187,Porcentaje,Promedio: el total es la suma de las cantidades dividido el número de cantidades,,,,,,42,42,-,Otras Causas,Otras Causas,Sin desvio,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,313,Honorable Cámara de Diputados de la Nación Argentina,17,Formacion y Sancion Legislativa,0,Formacion y Sancion Legislativa,Indicador,375,Porcentaje de bancas ocupadas por mujeres en la Cámara de diputados del Congreso Nacional (ODS 5.5.1 -PPG),1187,Porcentaje,Promedio: el total es la suma de las cantidades dividido el número de cantidades,42,45,45,,,114,62,-,Otras Causas,Otras Causas,Cambios institucionales,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso de la Nación,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,60000000,60000000,60000000,12000000,60000000,6820945,34230126,"-42,95",Otras causas,Otras causas,"En el tercer trimestre/22, continuamos  con la ejcucion de los  trabajos  convenidos en el año 2021 -  2022 como asi tambien con los trabajos Parlamentarios y Comerciales.   Cabe aclarar que la programacion se baso en a cantidad de impresiones proyectadas con los distintos Convenios. Tanto en el Convenio del Ministerio del Interior e Indec ,   algunos items fueron modificados,  por lo que la cantidad de impresiones fueron inferiores a lo programado causando el desvio.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,216,0,0,0,0,0,0,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,240000,240000,240000,65000,240000,68470,246271,"2,61",Otras Causas,Otras Causas,Reclamos por Pensión Personal Policial de Mendoza,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1268,Actuaciones de Oficio,30,Caso,Suma: el total es la suma de las cantidades,220,220,220,70,220,76,234,"6,36",Otras Causas,Otras Causas,Reclamos por Pensión Personal Policial de Mendoza,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,12000,12000,12000,2400,12000,2479,12210,"1,75",Otras Causas,Otras Causas,Reclamos por Pensión Personal Policial de Mendoza,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3169,Difusión Radiofónica,1539,Programa Emitido,Suma: el total es la suma de las cantidades,96,96,96,24,96,24,96,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo de la Nación,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,3778,Promoción de Objetivos de Desarrollo Sostenible,1156,Taller Realizado,Suma: el total es la suma de las cantidades,4,4,4,1,4,1,4,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,1000,1000,1000,200,1000,104,620,"-38,00",Otras Causas,Otras Causas,"La postergación del cronograma planificado por cuestiones presupuestarias, más la realización de la última Audiencia Pública Prevista (Región Bonaerense) encimada con el Mundial de Fútbol ya comenzado, disminuyó el público esperado.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2855,Otorgamiento de Becas de Investigación y Capacitación,243,Becario,Suma: el total es la suma de las cantidades,210,210,210,70,210,0,20,"-90,48",Otras Causas,Otras Causas,"Fueron otorgadas en los trimestres previos y reconfirmadas para el 2023, sin ser necesario adjudicar nuevas en el tercer trimestre del 2022",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,3653,Formación en Derecho a la Comunicación y Derechos de las Audiencias,583,Participante,Suma: el total es la suma de las cantidades,35000,35000,35000,9000,35000,7300,42747,"22,13",Otras Causas,Otras Causas,"El desvío corresponde a que las centralidades de las acciones fueron desplegadas en el tercer trimestre del año, por la llegada del presupuesto, dando como resultado de todas formas 42000 personas afectadas por acciones de capacitación y promoción en el año, superando lo esperado en la planificación de metas 2022",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,3795,Monitoreo de Material Audiovisual de Noticieros,1045,Informe Realizado,Suma: el total es la suma de las cantidades,7,7,7,2,7,2,8,"14,29",Otras Causas,Otras Causas,"La diferencia corresponde a la elaboración de un informe especial adicional sobre personas mayores, niñez y género.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,4129,Orientación de Atención Ciudadana en materia de Servicios Audiovisuales,2043,Dictamen Jurídico,Suma: el total es la suma de las cantidades,200,240,240,60,240,62,322,"34,17",Otras Causas,Otras Causas,La diferencia entre lo programado y lo ejecutado se justifica debido al aumento de reclamos y denuncias recibidas ante el organismo.,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,369,Oficina de Presupuesto del Congreso,42,Apoyo al Congreso Nacional en Materia Fiscal,0,Apoyo al Congreso Nacional en Materia Fiscal,Indicador,519,Cumplimiento del Plan de Trabajo Anual,1187,Porcentaje,Suma: el total es la suma de las cantidades,,,,,,,,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Indicador,39,Proporción de Torturas y Malos Tratos en el Total de Casos Investigados,1187,Porcentaje,Suma: el total es la suma de las cantidades,"0,32","0,25","0,25",,,,,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Indicador,40,Proporción de Expedientes Iniciados por Torturas y Malos Tratos que llegan a Instancias de Denuncia Penal,1187,Porcentaje,Suma: el total es la suma de las cantidades,"63,93",50,50,,,,,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1882,Atención de Internos Damnificados,1354,Caso Gestionado,Suma: el total es la suma de las cantidades,68000,68000,68000,17000,68000,21602,75525,"11,07",Otras Causas,Otras Causas,"La vuelta a la presencialidad, la implementación del Diagnóstico Federal y el relevamiento de las condiciones materiales de detención han posibilitado que lo previsto para 2022 haya sido superado en este 11,07%.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1900,Inspección de Centros de Detención,24,Inspección,Suma: el total es la suma de las cantidades,550,916,916,370,916,417,1276,"39,30",Otras Causas,Otras Causas,"La gran actividad durante los trimestres 1 y 3, sobre todo, eleva el desvío en un casi 40% a lo programado, todo ello debido a la paulatina vuelta a la actividad presencial en las cárceles.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,1900,Inspección de Centros de Detención,380,Visita,Suma: el total es la suma de las cantidades,3084,3084,3084,900,3084,661,2434,"-21,08",Otras Causas,Otras Causas,"La cantidad de visitas estuvo por debajo de lo programado durante todo el año, la posibilidad de realizar audiencias por parte de los asesores legales de manera virtual, quizás haya tenido que ver en este desvío en menos del 21%.  Es evidente que es una modalidad que se mantendrá en el tiempo, limitando la presencialidad para los casos en los que la atención virtual no sea conveniente.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria de la Nación,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Meta,2041,Atención Médica a Internos,939,Interno Atendido,Suma: el total es la suma de las cantidades,4500,4500,4500,900,4500,639,2716,"-39,64",Otras Causas,Otras Causas,"El desvío en esta UM se mantuvo trimestre a trimestre, siendo mayor en aquellos donde la actividad programada era más alta.  La razón sigue siendo la falta de profesionales médicos en las delegaciones.",Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,22,Justicia de Casacion,0,Justicia de Casacion,Indicador,126,Tasa de Descongestión de Expedientes,1476,Ratio,Suma: el total es la suma de las cantidades,"0,74","0,81","0,81",,,,,"0,00",-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,1,Fuero Criminal y Correccional,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,84500,75000,75000,75000,75000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,1,Fuero Criminal y Correccional,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,5400,5000,5000,5000,5000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,2,Fuero Civil,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,46700,45000,45000,45000,45000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,2,Fuero Civil,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,15000,15000,15000,15000,15000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,3,Fuero Comercial,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,25000,21500,21500,21500,21500,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,3,Fuero Comercial,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,12000,12600,12600,12600,12600,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,4,Fuero del Trabajo,Meta,1135,Resolución de Causas en 1ra.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,68100,61000,61000,61000,61000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
2022,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,5,Poder Judicial de la Nación,0,Poder Judicial de la Nación,320,Consejo de la Magistratura,23,Justicia Ordinaria de la Ciudad Autonoma de Buenos Aires,4,Fuero del Trabajo,Meta,1136,Resolución de Causas en 2da.Instancia,654,Causa Resuelta,Suma: el total es la suma de las cantidades,30500,30000,30000,30000,30000,,,-,-,-,-,Última actualización del ejercicio 2022: 02 Julio 2023.
